,brand,amount
1, marlboro,75
2, swishersweets,17
3, camel,11
4, parliament,10
6, nerf,7
7, mcdonalds,7
8, cocacola,6
9, corona,5
10, capri,4
11, cityofpasadena,4
12, starbucks,4
14, kirkland,3
16, kroger,3
17, solo,3
18, raw,3
19, chefsquality,3
20, modelo,3
21, okf,2
22, haribo,2
23, gatorade,2
24, goofystring,2
25, crystalgeyser,2
26, lala,2
27, ferrera,2
28, nestle,2
29, goodfellow,2
30, sprite,2
31, subway,2
33, slimjim,2
34, chantryproperties,2
35, snapple,2
36, dove,2
37, bensonandhedges,2
38, ewing,2
39, ralphs,2
40, aluminum,2
41, fruzel,1
42, catalinaislandconservancy,1
43, jammysammy,1
44, soft&chewy,1
45, cup,1
46, topsmalibu,1
47, cheezeit,1
48, uniball,1
49, zigzag,1
50, stiiizy,1
51, roma,1
52, vanillaroma,1
53, coffeebean,1
54, jollyrancher,1
57, konabrewingco,1
58, sketchers,1
59, sheibmoney,1
60, itoen,1
61, bluemoon,1
62, amazon,1
64, king,1
66, curad,1
67, limes,1
68, collegiatelicensedproduct,1
69, captainmorgan,1
70, 3musketeers,1
71, doubledose,1
72, losangelesk9services,1
74, pandaexpress,1
75, anastasiabeverlyhills,1
76, chuckecheeses,1
77, partrade,1
78, heinz,1
79, newamsterdam,1
80, nowandlater,1
81, sioux,1
82, personalcare,1
83, pocky,1
84, elvallespices,1
85, magnum,1
87, walgreens,1
88, karat,1
89, propark,1
90, stellaartois,1
91, bic,1
92, hbiinternational,1
93, colombina,1
94, food4less,1
95, staybigchiefn,1
96, henson&hedge,1
97, lemonhead,1
98, honestkids,1
100, sfntc,1
101, arclight,1
103, fanta,1
104, acdelco,1
105, malboro,1
106, jj,1
107, fruitcherry,1
108, sangriasenorial,1
109, superdry,1
110, arizonatea,1
111, bettycrockers,1
112, winchells,1
113, applehead,1
114, sonicthehedgehog,1
115, gogosushi,1
117, crafterssquare,1
118, heineken,1
119, werthers,1
120, pulparindo,1
121, views,1
122, kool,1
123, innout,1
124, sears,1
126, atlantiscollection,1
127, chrysalusa,1
128, target,1
129, tacobell,1
130, peld04,1
131, pepsi,1
132, ucla,1
133, sourpunch,1
134, sweetarts,1
135, ipec,1
137, mentos,1
139, twix,1
140, sambaloelek,1
141, toblerone,1
